Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
group_12999,,hypothetical protein,2,2,1.0,1,14575,,,,156,156,156.0,AEKEPN_13630,,,,4_refound_16665,,,,,,,,,,,,
group_12997,,L-aspartate oxidase,2,2,1.0,1,14573,,,,159,159,159.0,,,,,,,,,,,,,,,,OGPOLJ_07315,16_refound_68242
group_12985,,hypothetical protein,2,2,1.0,1,14560,,,,159,159,159.0,AEKEPN_18090,,,,,,,,,9_refound_37531,,,,,,,
group_12980,,hypothetical protein,2,2,1.0,1,14555,,,,162,162,162.0,,,,,,,,,,,,,,13_refound_56690,,OGPOLJ_09855,
group_12979,,DNA-binding protein HU,2,2,1.0,1,14554,,,,162,162,162.0,,,,,,,,,,,,,,13_refound_56688,,OGPOLJ_09695,
group_12976,,hypothetical protein,2,2,1.0,1,14551,,,,162,162,162.0,,,,,,,,7_refound_31324,,,,,,FNPKGJ_20155,,,
group_12975,,hypothetical protein,2,2,1.0,1,14550,,,,162,162,162.0,,,,,,,,,,,,,,FNPKGJ_15060,,OGPOLJ_15985,
group_12942,,hypothetical protein,2,2,1.0,1,14517,,,,165,165,165.0,,,,,,,,,,,KAGCPN_19620,NDMAAC_19630,,,,,
group_12935,,Arm-DNA-bind-3 domain-containing protein,2,2,1.0,1,14509,,,,165,165,165.0,,,,,,,DILMCD_28065,,,,,,12_refound_51044,,,,
group_12923,,hypothetical protein,2,2,1.0,1,14497,,,,168,168,168.0,,,,,,,,,,,,,,13_refound_56676,,OGPOLJ_08110,
group_12922,,hypothetical protein,2,2,1.0,1,14496,,,,168,168,168.0,,,,,,,,,8_refound_35608,,,,,,OFJEOJ_14620,,
group_12898,,hypothetical protein,2,2,1.0,1,14471,,,,171,171,171.0,,,,,NDFCFG_00700,,,,8_refound_34176,,,,,,,,
group_12887,,hypothetical protein,2,2,1.0,1,14459,,,,174,174,174.0,,,,,,,DILMCD_20470,,,,,,CELEIN_12540,,,,
group_12885,,hypothetical protein,2,2,1.0,1,14457,,,,174,174,174.0,,,,,,,DILMCD_11270,,,,,,,,,15_refound_63607,
group_12871,,hypothetical protein,2,2,1.0,1,14443,,,,177,177,177.0,,,,,,,,CJMOAC_28690,8_refound_34814,,,,,,,,
group_12868,,hypothetical protein,2,2,1.0,1,14440,,,,177,177,177.0,,,,,,,DILMCD_13570,,,,,,,,14_refound_59382,,
group_12854,,proteasome subunit beta;Proteasome subunit beta,2,2,1.0,1,14425,,,,441,474,457.5,,,,,,,,CJMOAC_28510,,,,,,FNPKGJ_20640,,,
group_12852,,hypothetical protein,2,2,1.0,1,14423,,,,180,180,180.0,,,,,4_refound_19008,,,,,,,,,,OFJEOJ_06390,,
group_12851,,hypothetical protein,2,2,1.0,1,14422,,,,180,180,180.0,,,,,,,,7_refound_31375,,,,,,FNPKGJ_26795,,,
group_12830,,LysR substrate-binding domain-containing protein,2,2,1.0,1,14401,,,,180,180,180.0,AEKEPN_13115,1_refound_4251,,,,,,,,,,,,,,,
group_12811,,hypothetical protein,2,2,1.0,1,14381,,,,183,183,183.0,0_refound_826,,,,NDFCFG_14190,,,,,,,,,,,,
group_12792,,hypothetical protein,2,2,1.0,1,14359,,,,186,186,186.0,,1_refound_5199,,,,,DILMCD_11290,,,,,,,,,,
group_12790,,NitT/TauT family transport system ATP-binding protein,2,2,1.0,1,14357,,,,1305,1305,1305.0,,,,,,,,,,,KAGCPN_17840,NDMAAC_17840,,,,,
group_12773,,hypothetical protein,2,2,1.0,1,14338,,,,189,189,189.0,,,,,,,,,,KLDNLM_01085,,,12_refound_51752,,,,
group_12767,,DUF6360 domain-containing protein,2,2,1.0,1,14332,,,,189,189,189.0,,,,,,,6_refound_26098,CJMOAC_14420,,,,,,,,,
group_12761,,hypothetical protein,2,2,1.0,1,14326,,,,189,189,189.0,AEKEPN_11380,,,,,,,,,9_refound_37382,,,,,,,
group_12757,,Cysteine-rich CPCC,2,2,1.0,1,14322,,,,546,588,567.0,,,,,,,,CJMOAC_23740,,,,,,,OFJEOJ_27065,,
group_12750,,cellulose biosynthesis protein BcsF,2,2,1.0,1,14315,,,,192,192,192.0,,,,,,,,,,,KAGCPN_05045,NDMAAC_05040,,,,,
group_12741,,ABC transporter permease,2,2,1.0,1,14305,,,,948,948,948.0,,HMDFDK_01185,,,,,,,,,,,,,OFJEOJ_15105,,
group_12724,,HMA domain-containing protein,2,2,1.0,1,14287,,,,195,195,195.0,,,,,,,,,8_refound_35594,,,,,,OFJEOJ_12655,,
group_12719,,hypothetical protein,2,2,1.0,1,14282,,,,195,195,195.0,,,,,,,,,,KLDNLM_17150,,,,,14_refound_60258,,
group_12700,,hypothetical protein,2,2,1.0,1,14260,,,,198,198,198.0,,,,,,,,,,,,,,FNPKGJ_20240,,OGPOLJ_09655,
group_12697,,hypothetical protein,2,2,1.0,1,14257,,,,198,198,198.0,,,,,,,,7_refound_30860,,KLDNLM_24175,,,,,,,
group_12680,,hypothetical protein,2,2,1.0,1,14240,,,,201,201,201.0,,,,,,,,,,,,,,FNPKGJ_14460,,OGPOLJ_15365,
group_12677,,hypothetical protein,2,2,1.0,1,14237,,,,201,201,201.0,,,,,,,,,,,KAGCPN_19610,NDMAAC_19620,,,,,
group_12669,,4-oxalocrotonate tautomerase,2,2,1.0,1,14229,,,,201,201,201.0,,,,,NDFCFG_23645,,,7_refound_30156,,,,,,,,,
group_12663,,DNA-binding protein,2,2,1.0,1,14223,,,,201,201,201.0,,HMDFDK_08940,,,,,DILMCD_11305,,,,,,,,,,
group_12659,,Antitoxin,2,2,1.0,1,14219,,,,201,201,201.0,AEKEPN_22290,1_refound_4495,,,,,,,,,,,,,,,
group_12650,,hypothetical protein,2,2,1.0,1,14210,,,,204,204,204.0,,,,,,,,,,9_refound_39815,,,,,OFJEOJ_21095,,
group_12635,,hypothetical protein,2,2,1.0,1,14194,,,,204,204,204.0,,,,,NDFCFG_18215,,,,,,,,,,,,16_refound_67419
group_12629,,hypothetical protein,2,2,1.0,1,14188,,,,204,204,204.0,,HMDFDK_20485,,,,,,,,,,,,,,,16_refound_67154
group_12616,,hypothetical protein,2,2,1.0,1,14175,,,,207,207,207.0,,,,,,,,7_refound_31597,,,,,,,OFJEOJ_26365,,
group_12609,,hypothetical protein,2,2,1.0,1,14168,,,,207,207,207.0,,,,,,,,,,9_refound_39415,,,CELEIN_01285,,,,
group_12607,,hypothetical protein,2,2,1.0,1,14166,,,,207,207,207.0,,,,,,,,,,KLDNLM_17125,,,,,OFJEOJ_21260,,
group_12589,,KTSC domain-containing protein,2,2,1.0,1,14147,,,,210,210,210.0,,1_refound_6804,,,,,,,,,,,,,,OGPOLJ_00880,
group_12587,,hypothetical protein,2,2,1.0,1,14145,,,,210,210,210.0,,,,,,,,,,,,,,FNPKGJ_19925,,OGPOLJ_09955,
group_12575,,hypothetical protein,2,2,1.0,1,14133,,,,366,366,366.0,,,,,,,DILMCD_19715,,,,,,CELEIN_13215,,,,
group_12563,,hypothetical protein,2,2,1.0,1,14121,,,,213,213,213.0,,,,,,,,,,,,,,FNPKGJ_20450,,15_refound_64849,
group_12561,,DNA-binding protein,2,2,1.0,1,14119,,,,213,213,213.0,,,,,,,,,,,,,,FNPKGJ_08285,,15_refound_64811,
group_12553,,DNA-binding protein,2,2,1.0,1,14111,,,,213,213,213.0,,,,,,,,,,KLDNLM_17290,,,,,14_refound_60265,,
group_12552,,hypothetical protein,2,2,1.0,1,14110,,,,213,213,213.0,,,,,,,,,,KLDNLM_17255,,,,,14_refound_60262,,
group_12537,,hypothetical protein,2,2,1.0,1,14095,,,,216,216,216.0,,,,,,,,,8_refound_35730,,,,,,,OGPOLJ_14285,
group_12526,,hypothetical protein,2,2,1.0,1,14084,,,,216,216,216.0,,,,,,,,,,,,,,13_refound_56481,OFJEOJ_03045,,
group_12522,,hypothetical protein,2,2,1.0,1,14080,,,,216,216,216.0,,,,,,,,,,,KAGCPN_04885,NDMAAC_04880,,,,,
group_12500,,hypothetical protein,2,2,1.0,1,14055,,,,219,219,219.0,,,,,,,,,8_refound_35708,,,,,,,OGPOLJ_08465,
group_12499,,hypothetical protein,2,2,1.0,1,14054,,,,219,219,219.0,,,,,,,,,,,,,,13_refound_56664,,OGPOLJ_00770,
group_12498,,DksA C4-type domain-containing protein,2,2,1.0,1,14053,,,,219,219,219.0,,,,,,,,,,KLDNLM_17245,,,,,OFJEOJ_21150,,
group_12493,,hypothetical protein,2,2,1.0,1,14048,,,,219,219,219.0,,,,,,,,,,,,,,FNPKGJ_01155,,OGPOLJ_01140,
group_12488,,hypothetical protein,2,2,1.0,1,14043,,,,219,219,219.0,,,,,4_refound_18191,,,,GGGPIC_10965,,,,,,,,
group_12470,,O-antigen ligase domain-containing protein,2,2,1.0,1,14024,,,,1323,1323,1323.0,,,,,,,,,,,,,,FNPKGJ_17330,,OGPOLJ_18280,
group_12468,gltB2,FMN-binding glutamate synthase family protein,2,2,1.0,1,14022,,,,1323,1323,1323.0,,,,,,,,,,,,,,FNPKGJ_11395,,OGPOLJ_11665,
group_12464,,hypothetical protein,2,2,1.0,1,14018,,,,222,222,222.0,,,,,,,,,,,,,,FNPKGJ_21220,,15_refound_64852,
group_12457,,hypothetical protein,2,2,1.0,1,14011,,,,222,222,222.0,,,,,,,,,GGGPIC_16630,,,,,,,15_refound_64234,
group_12452,,Lactamase-B domain-containing protein,2,2,1.0,1,14006,,,,948,948,948.0,,,,,,,,,GGGPIC_14230,,,,,,14_refound_60005,,
group_12427,,type III secretion protein,2,2,1.0,1,13981,,,,225,225,225.0,,,,,,,,,,,KAGCPN_28195,NDMAAC_28195,,,,,
group_12419,,DDE-Tnp-1 domain-containing protein,2,2,1.0,1,13973,,,,225,225,225.0,,,,,,,,7_refound_30771,,KLDNLM_13120,,,,,,,
group_12408,,hypothetical protein,2,2,1.0,1,13962,,,,225,225,225.0,,1_refound_5021,,,NDFCFG_15315,,,,,,,,,,,,
group_12407,,hypothetical protein,2,2,1.0,1,13961,,,,225,225,225.0,,HMDFDK_00240,,,,,,7_refound_29478,,,,,,,,,
group_12404,,transcriptional regulator,2,2,1.0,1,13958,,,,228,228,228.0,,,,,4_refound_19180,,,,,,,,,,,OGPOLJ_14230,
group_12402,,hypothetical protein,2,2,1.0,1,13956,,,,228,228,228.0,,,,,,,,,,9_refound_39819,,,,,OFJEOJ_21235,,
group_12391,,hypothetical protein,2,2,1.0,1,13945,,,,228,228,228.0,,,,,NDFCFG_22030,,,,,,,,12_refound_50890,,,,
group_12389,,hypothetical protein,2,2,1.0,1,13943,,,,228,228,228.0,,,,,4_refound_17479,NFOGGK_02615,,,,,,,,,,,
group_12386,,hypothetical protein,2,2,1.0,1,13940,,,,228,228,228.0,,HMDFDK_08985,,,,,6_refound_25334,,,,,,,,,,
group_12376,,acyl carrier protein,2,2,1.0,1,13929,,,,231,231,231.0,,,,,,,,,,,,,,FNPKGJ_15035,,OGPOLJ_15960,
group_12341,,Arc domain-containing protein,2,2,1.0,1,13893,,,,234,234,234.0,,,,,,,,7_refound_31336,,,,,,FNPKGJ_20745,,,
group_12335,,hypothetical protein,2,2,1.0,1,13887,,,,234,234,234.0,,,,,,,,,,KLDNLM_17170,,,,,OFJEOJ_21220,,
group_12326,,Prophage PssSM-01,2,2,1.0,1,13876,,,,234,234,234.0,,,,,,,DILMCD_13550,,,,,,,FNPKGJ_01580,,,
group_12325,,hypothetical protein,2,2,1.0,1,13875,,,,234,234,234.0,0_refound_896,,,,NDFCFG_19535,,,,,,,,,,,,
group_12311,,DUF2790 domain-containing protein,2,2,1.0,1,13861,,,,237,237,237.0,,,,,4_refound_19215,,,,,,,,,,,,MOKLEP_01215
group_12305,,hypothetical protein,2,2,1.0,1,13855,,,,237,237,237.0,,,,,,,,7_refound_31233,,,,,,FNPKGJ_08445,,,
group_12299,,Two component transcriptional regulator LuxR family,2,2,1.0,1,13849,,,,666,666,666.0,,HMDFDK_03570,,,,,,,GGGPIC_11465,,,,,,,,
group_12291,,type II toxin-antitoxin system ParD family antitoxin,2,2,1.0,1,13841,,,,237,237,237.0,,1_refound_5696,,,,,,CJMOAC_30395,,,,,,,,,
group_12289,,Cellulose synthase/poly-beta-16-N-acetylglucosamine synthase-like glycosyltransferase,2,2,1.0,1,13839,,,,1329,1329,1329.0,,,,,NDFCFG_19560,,,,,,,,,,,,MOKLEP_11805
group_12284,,hypothetical protein,2,2,1.0,1,13833,,,,237,237,237.0,0_refound_795,,,,NDFCFG_11420,,,,,,,,,,,,
group_12282,,hypothetical protein,2,2,1.0,1,13831,,,,237,237,237.0,,HMDFDK_08945,,,,,6_refound_25332,,,,,,,,,,
group_12266,,hypothetical protein,2,2,1.0,1,13813,,,,240,240,240.0,,,,,,,,,,9_refound_39628,,,,FNPKGJ_20400,,,
group_12265,,Conjugal transfer protein,2,2,1.0,1,13812,,,,240,240,240.0,,,,,,,,,,,,,,FNPKGJ_20165,,OGPOLJ_09735,
group_12261,,hypothetical protein,2,2,1.0,1,13807,,,,240,240,240.0,,,,,,,,,,,KAGCPN_18065,NDMAAC_18065,,,,,
group_12246,,hypothetical protein,2,2,1.0,1,13792,,,,240,240,240.0,0_refound_794,,,,NDFCFG_11345,,,,,,,,,,,,
group_12237,,hypothetical protein,2,2,1.0,1,13783,,,,243,243,243.0,,,,,,,,7_refound_31412,,,,,,,OFJEOJ_03755,,
group_12236,,hypothetical protein,2,2,1.0,1,13782,,,,243,243,243.0,,,,,,,,,,,,,,FNPKGJ_19050,,OGPOLJ_20010,
group_12233,,hypothetical protein,2,2,1.0,1,13779,,,,243,243,243.0,,,,,,,,,,,KAGCPN_12410,NDMAAC_12405,,,,,
bcsR,bcsR,cellulose biosynthesis protein BcsR,2,2,1.0,1,13778,,,,243,243,243.0,,,,,,,,,,,KAGCPN_05035,NDMAAC_05030,,,,,
group_12229,,hypothetical protein,2,2,1.0,1,13774,,,,243,243,243.0,,1_refound_5882,,,,,,,GGGPIC_16735,,,,,,,,
group_12201,,hypothetical protein,2,2,1.0,1,13745,,,,246,246,246.0,,1_refound_6637,,,,,,,,,,,,,OFJEOJ_02890,,
group_12192,,Protein PsiE,2,2,1.0,1,13736,,,,246,246,246.0,,,,,,,,,8_refound_35226,,,,CELEIN_04830,,,,
group_12184,,hypothetical protein,2,2,1.0,1,13728,,,,246,246,246.0,0_refound_841,,,,NDFCFG_15330,,,,,,,,,,,,
group_12183,,hypothetical protein,2,2,1.0,1,13727,,,,246,246,246.0,,,,,,NFOGGK_02600,DILMCD_11295,,,,,,,,,,
glnT,glnT,type III glutamate--ammonia ligase,2,2,1.0,1,13725,,,,1335,1335,1335.0,,,,,,,,,,,,,,FNPKGJ_11380,,OGPOLJ_11650,
group_12176,,hypothetical protein,2,2,1.0,1,13719,,,,249,249,249.0,,,,,,,,,8_refound_36121,,,,,,,,MOKLEP_18515
group_12162,,RHH-type transcriptional regulator proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase,2,2,1.0,1,13704,,,,249,249,249.0,,,,,,,,,,,KAGCPN_18835,NDMAAC_18830,,,,,
group_12154,amt,ammonia channel protein,2,2,1.0,1,13696,,,,1341,1341,1341.0,,,,,,,,,,,,,,FNPKGJ_11400,,OGPOLJ_11670,
group_12146,,hypothetical protein,2,2,1.0,1,13688,,,,252,252,252.0,,,,,,,6_refound_27648,,,,,,,,,OGPOLJ_14475,
group_12145,,DUF1654 domain-containing protein,2,2,1.0,1,13687,,,,252,252,252.0,,,,,,,,,8_refound_35725,,,,,,,OGPOLJ_14190,
group_12143,,hypothetical protein,2,2,1.0,1,13684,,,,252,252,252.0,,,,,,,,,,,,,,FNPKGJ_20520,,15_refound_64851,
group_12139,,hypothetical protein,2,2,1.0,1,13680,,,,252,252,252.0,,,,,,,,,,KLDNLM_17140,,,,,14_refound_60257,,
group_12127,,Aldehyde dehydrogenase,2,2,1.0,1,13668,,,,1434,1434,1434.0,,,,,NDFCFG_09700,,,,,,,,,,,,MOKLEP_01730
group_12126,,hypothetical protein,2,2,1.0,1,13667,,,,252,252,252.0,,1_refound_4948,,,NDFCFG_07675,,,,,,,,,,,,
group_12125,,hypothetical protein,2,2,1.0,1,13665,,,,252,252,252.0,,1_refound_4937,,,NDFCFG_03045,,,,,,,,,,,,
group_12111,,Putative membrane protein,2,2,1.0,1,13650,,,,255,255,255.0,,,,,,,,,,,,,,13_refound_56687,,OGPOLJ_09675,
group_12108,,hypothetical protein,2,2,1.0,1,13647,,,,255,255,255.0,,,,,,,,,,,,,,FNPKGJ_22830,,OGPOLJ_22695,
group_12107,,XRE family transcriptional regulator,2,2,1.0,1,13646,,,,255,255,255.0,,,,,,,,,,,,,,FNPKGJ_20205,,OGPOLJ_09690,
group_12106,,hypothetical protein,2,2,1.0,1,13645,,,,255,255,255.0,,,,,,,,,,,,,,FNPKGJ_10525,,OGPOLJ_10560,
group_12100,,hypothetical protein,2,2,1.0,1,13639,,,,255,255,255.0,,,,,,,,,,KLDNLM_19160,,,,,14_refound_60296,,
group_12088,,two-component sensor histidine kinase,2,2,1.0,1,13627,,,,1338,1338,1338.0,,,,,,,,CJMOAC_14280,8_refound_34653,,,,,,,,
group_12073,purU,formyltetrahydrofolate deformylase,2,2,1.0,1,13612,,,,867,867,867.0,,,,,,,,,,,,,,FNPKGJ_11425,,OGPOLJ_11695,
group_12064,purU,formyltetrahydrofolate deformylase,2,2,1.0,1,13601,,,,867,867,867.0,,,,,,,,,,,,,,FNPKGJ_11370,,OGPOLJ_11640,
group_12062,,hypothetical protein,2,2,1.0,1,13599,,,,258,258,258.0,,,,,,,,7_refound_31376,,,,,,FNPKGJ_26805,,,
group_12059,,hypothetical protein,2,2,1.0,1,13596,,,,258,258,258.0,,,,,,,,,,,,,,FNPKGJ_19980,,OGPOLJ_09910,
group_12055,,hypothetical protein,2,2,1.0,1,13592,,,,258,258,258.0,,,,,,,,,,,KAGCPN_04980,NDMAAC_04975,,,,,
group_12054,,hypothetical protein,2,2,1.0,1,13591,,,,258,258,258.0,,,,,,,,,,,KAGCPN_04930,NDMAAC_04925,,,,,
group_12039,,Transcriptional regulator,2,2,1.0,1,13574,,,,261,261,261.0,,,,,,,,,,,,,12_refound_53031,,,,MOKLEP_18485
group_12032,,DUF3630 domain-containing protein,2,2,1.0,1,13567,,,,261,261,261.0,,,,,,,,,,9_refound_39557,,,,FNPKGJ_08420,,,
group_12031,,hypothetical protein,2,2,1.0,1,13565,,,,261,261,261.0,,,,,,,,,,,,,,FNPKGJ_01160,,OGPOLJ_01145,
group_12029,,hypothetical protein,2,2,1.0,1,13563,,,,261,261,261.0,,,,,,,,,,,KAGCPN_08600,NDMAAC_08595,,,,,
group_12005,,Putative phage excisionase,2,2,1.0,1,13537,,,,264,264,264.0,,,,,,,,,,,,,,FNPKGJ_20435,,15_refound_64848,
group_11967,,hypothetical protein,2,2,1.0,1,13496,,,,267,267,267.0,0_refound_1976,,,,,,,,,KLDNLM_17535,,,,,,,
group_11965,,ornithine monooxygenase,2,2,1.0,1,13494,,,,1344,1344,1344.0,,,,,,,,CJMOAC_06925,,9_refound_38679,,,,,,,
group_11958,,hypothetical protein,2,2,1.0,1,13487,,,,267,267,267.0,,HMDFDK_08965,,,,,6_refound_25333,,,,,,,,,,
group_11914,,Prophage PSPPH02 putative adenine modification methytransferase,2,2,1.0,1,13439,,,,273,273,273.0,,,,,,,,7_refound_31636,,,,,,,,OGPOLJ_16675,
group_11899,,hypothetical protein,2,2,1.0,1,13423,,,,273,273,273.0,,,,,,,,CJMOAC_28515,,,,,,13_refound_55751,,,
group_11898,,ABC transporter permease,2,2,1.0,1,13422,,,,951,951,951.0,,,,,,,,,,,,,,FNPKGJ_02660,,15_refound_64803,
group_11882,,hypothetical protein,2,2,1.0,1,13405,,,,276,276,276.0,,,,,,,,,,,,,,FNPKGJ_19115,,OGPOLJ_20075,
group_11879,,Colicin-immun domain-containing protein,2,2,1.0,1,13402,,,,276,276,276.0,,,,,,,,,,,,,,FNPKGJ_00800,,15_refound_64797,
group_11878,,Phage antirepressor protein KilAC domain-containing protein,2,2,1.0,1,13401,,,,276,276,276.0,,,,,,,,,,,,,CELEIN_19610,,,,MOKLEP_18495
group_11870,,hypothetical protein,2,2,1.0,1,13393,,,,276,276,276.0,,,,,,,,CJMOAC_28605,8_refound_34812,,,,,,,,
group_11854,,aldehyde dehydrogenase family protein,2,2,1.0,1,13373,,,,1464,1464,1464.0,,,,,,,,,,,,,,FNPKGJ_19265,,OGPOLJ_20225,
group_11841,,hypothetical protein,2,2,1.0,1,13359,,,,279,279,279.0,,,,,,,,,,,KAGCPN_03510,NDMAAC_03505,,,,,
group_11836,,Protease subunit of ATP-dependent Clp protease,2,2,1.0,1,13353,,,,279,279,279.0,,,,,,,,7_refound_30559,GGGPIC_16710,,,,,,,,
fnlA,fnlA,UDP-glucose 4-epimerase,2,2,1.0,1,13338,,,,1011,1035,1023.0,AEKEPN_23385,,,,,,,,,,,,,,,OGPOLJ_08310,
group_11810,,hypothetical protein,2,2,1.0,1,13325,,,,282,282,282.0,,,,,,,,,,,,,,FNPKGJ_23450,,15_refound_64857,
group_11797,,hypothetical protein,2,2,1.0,1,13312,,,,282,282,282.0,,,,,,,,CJMOAC_30285,,,,,,,OFJEOJ_19460,,
group_11789,,Rieske domain-containing protein,2,2,1.0,1,13304,,,,1350,1350,1350.0,,,,,NDFCFG_20140,,,,GGGPIC_10950,,,,,,,,
group_11787,,hypothetical protein,2,2,1.0,1,13302,,,,282,282,282.0,,HMDFDK_05635,,,,,,7_refound_29564,,,,,,,,,
group_11776,,hypothetical protein,2,2,1.0,1,13290,,,,285,285,285.0,,,,,,,,,,,,,,13_refound_56734,,OGPOLJ_26510,
group_11773,,hypothetical protein,2,2,1.0,1,13287,,,,285,285,285.0,,,,,,,,,,9_refound_39816,,,,,OFJEOJ_21100,,
group_11768,,hypothetical protein,2,2,1.0,1,13282,,,,285,285,285.0,,,,,,,,,,,,,,FNPKGJ_25785,,OGPOLJ_25485,
group_11766,,hypothetical protein,2,2,1.0,1,13280,,,,285,285,285.0,,,,,,,,,,,KAGCPN_19615,NDMAAC_19625,,,,,
group_11738,,Metal resistance protein,2,2,1.0,1,13250,,,,288,288,288.0,,,,,,,,,,,KAGCPN_10710,NDMAAC_10705,,,,,
group_11737,,aromatic ring-hydroxylating dioxygenase subunit alpha,2,2,1.0,1,13249,,,,1350,1350,1350.0,AEKEPN_11460,HMDFDK_05125,,,,,,,,,,,,,,,
group_11733,,hypothetical protein,2,2,1.0,1,13244,,,,288,288,288.0,,,,,,,,,,KLDNLM_12300,,11_refound_47672,,,,,
group_11727,,hypothetical protein,2,2,1.0,1,13237,,,,288,288,288.0,,,,,,,,CJMOAC_17415,,KLDNLM_05350,,,,,,,
group_11725,,hypothetical protein,2,2,1.0,1,13234,,,,288,288,288.0,,,,,,,DILMCD_19850,,,,,,CELEIN_13065,,,,
group_11723,,hypothetical protein,2,2,1.0,1,13232,,,,288,288,288.0,,,,,,NFOGGK_02610,6_refound_25691,,,,,,,,,,
group_11714,,AarF/ABC1/UbiB kinase family protein,2,2,1.0,1,13222,,,,1353,1353,1353.0,,,,,,,,,,,KAGCPN_24730,NDMAAC_24740,,,,,
group_11710,tnpB,IS66 family insertion sequence element accessory protein TnpB,2,2,1.0,1,13218,,,,291,291,291.0,,,,,,,,,,,,,,FNPKGJ_20355,,15_refound_64845,
group_11707,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,2,2,1.0,1,13215,,,,1353,1353,1353.0,0_refound_1783,,,,,,,,GGGPIC_21755,,,,,,,,
group_11704,,hypothetical protein,2,2,1.0,1,13212,,,,291,291,291.0,0_refound_1852,,,,,,,,,KLDNLM_03965,,,,,,,
group_11679,,ribbon-helix-helix domain-containing protein,2,2,1.0,1,13183,,,,294,294,294.0,,,,,,,6_refound_27259,,,,,,,FNPKGJ_08650,,,
group_11678,,hypothetical protein,2,2,1.0,1,13182,,,,294,294,294.0,,,,,,,,,,,,,,FNPKGJ_05795,,OGPOLJ_05460,
group_11677,,plasmid stabilization protein,2,2,1.0,1,13181,,,,294,294,294.0,,,,,,,,,,,,,,FNPKGJ_01140,,OGPOLJ_01125,
group_11675,,hypothetical protein,2,2,1.0,1,13179,,,,294,294,294.0,,,,,,,,,,,,,,FNPKGJ_00785,,15_refound_64795,
group_11674,,Integrase catalytic domain-containing protein,2,2,1.0,1,13177,,,,294,294,294.0,,,,,,,,,,,10_refound_43546,NDMAAC_18935,,,,,
group_11670,,hypothetical protein,2,2,1.0,1,13173,,,,294,294,294.0,,,,,,,,,,KLDNLM_17235,,,,,OFJEOJ_21160,,
group_11660,,hypothetical protein,2,2,1.0,1,13163,,,,294,294,294.0,,,,,NDFCFG_19340,,,,,,,,,,OFJEOJ_06365,,
group_11647,,hypothetical protein,2,2,1.0,1,13150,,,,297,297,297.0,,,,,,,,,,9_refound_39629,,,,FNPKGJ_20415,,,
group_11644,,hypothetical protein,2,2,1.0,1,13147,,,,297,297,297.0,,,,,,,,,,,KAGCPN_05940,NDMAAC_05930,,,,,
group_11640,,hypothetical protein,2,2,1.0,1,13143,,,,297,297,297.0,,,,,,,,,GGGPIC_08300,,,,12_refound_51512,,,,
group_11631,,hypothetical protein,2,2,1.0,1,13134,,,,297,297,297.0,,,,,,,DILMCD_13710,,,,,,,13_refound_55305,,,
group_11620,,Extradiol ring-cleavage dioxygenase,2,2,1.0,1,13123,,,,297,297,297.0,AEKEPN_11445,HMDFDK_05140,,,,,,,,,,,,,,,
group_11618,,hypothetical protein,2,2,1.0,1,13121,,,,297,297,297.0,AEKEPN_11250,,,,,,,,,,,,,,14_refound_58254,,
group_11613,,hypothetical protein,2,2,1.0,1,13116,,,,300,300,300.0,,,,,,,,,,,,,,13_refound_56698,,OGPOLJ_11020,
group_11610,,hypothetical protein,2,2,1.0,1,13112,,,,300,300,300.0,,,,,,,,7_refound_31101,,,,,CELEIN_03895,,,,
group_11609,,antibiotic biosynthesis monooxygenase,2,2,1.0,1,13111,,,,300,300,300.0,,,,,,,,,,,KAGCPN_24740,NDMAAC_24750,,,,,
group_11603,,hypothetical protein,2,2,1.0,1,13105,,,,300,300,300.0,,,,,,,,CJMOAC_17690,,,,,,,,OGPOLJ_10005,
group_11579,,hypothetical protein,2,2,1.0,1,13078,,,,303,303,303.0,,,,,4_refound_19102,,,,,,,,,,OFJEOJ_18855,,
group_11573,,hypothetical protein,2,2,1.0,1,13072,,,,303,303,303.0,0_refound_2485,,,,,,,,,,,,,FNPKGJ_23035,,,
group_11571,,XRE family transcriptional regulator,2,2,1.0,1,13070,,,,303,303,303.0,,,,,,,,,,,,,,FNPKGJ_19970,,15_refound_64838,
group_11570,,helix-turn-helix domain-containing protein,2,2,1.0,1,13069,,,,303,303,303.0,,,,,,,,,,KLDNLM_17300,,,,,OFJEOJ_21125,,
group_11544,,DUF2730 domain-containing protein,2,2,1.0,1,13039,,,,306,306,306.0,,,,,,,,,,KLDNLM_17240,,,,,OFJEOJ_21155,,
group_11543,,Acyltransferase,2,2,1.0,1,13038,,,,1362,1362,1362.0,,1_refound_6960,,,,,,,,,,,,,,,MOKLEP_05875
group_11516,,hypothetical protein,2,2,1.0,1,13010,,,,309,309,309.0,0_refound_2734,,,,,,,,,,,,,,,OGPOLJ_14215,
