Gene,Non-unique Gene name,Annotation,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
group_6447,,DNA-binding transcriptional regulator LysR family,,,2_refound_10273,3_refound_14349,,5_refound_22631,6_refound_26734_stop,,8_refound_34930_stop,KLDNLM_13210,KAGCPN_13660,NDMAAC_13655,12_refound_51851_stop,13_refound_56082_stop,OFJEOJ_10795,15_refound_64399_stop,
group_6434,,type II secretion system protein F,AEKEPN_03265,HMDFDK_12365,DGIGOC_14610,OELDID_16920,,NFOGGK_04465,DILMCD_00235,CJMOAC_23915,GGGPIC_04095,,,,CELEIN_03365,FNPKGJ_03510,OFJEOJ_26895,OGPOLJ_03270,
group_6423,,DMT family transporter,0_refound_2195_stop,1_refound_6303_stop,,,4_refound_18677_stop,,6_refound_27009,7_refound_31030,,9_refound_39360_stop,KAGCPN_18775,NDMAAC_18770,12_refound_52120,13_refound_56309,14_refound_60459,15_refound_64626,
group_6418,,Methylated-DNA--protein-cysteine methyltransferase,0_refound_1945_stop,,2_refound_10293,3_refound_14370,4_refound_18462_stop,5_refound_22652,6_refound_26755_stop,,,KLDNLM_14145,10_refound_43468_stop,11_refound_47699,12_refound_51872_stop,13_refound_56093_stop,,15_refound_64409_stop,
group_6355,,LysR family transcriptional regulator,,1_refound_5609,2_refound_9772_stop,3_refound_13841_stop,,5_refound_22122_stop,6_refound_26219_stop,CJMOAC_24380,GGGPIC_15930,,,,12_refound_51347_stop,13_refound_55698,OFJEOJ_12420,15_refound_64009_stop,16_refound_67675_stop
group_6318,,LysR family transcriptional regulator,AEKEPN_07450,,2_refound_8422,3_refound_12493,4_refound_16569_stop,5_refound_20770,6_refound_24845_stop,CJMOAC_13335,8_refound_33156_stop,9_refound_37328_stop,,,CELEIN_15280,13_refound_54052_stop,,15_refound_62352,
group_6281,,cation transporter,,1_refound_5366_stop,2_refound_9518,3_refound_13586,,5_refound_21867,6_refound_25962,CJMOAC_05825,GGGPIC_04370,9_refound_38662_stop,,,12_refound_51101_stop,FNPKGJ_03785,OFJEOJ_05185,OGPOLJ_03555,
group_6268,,Phospholipase,AEKEPN_16535,,2_refound_8589_stop,3_refound_12655_stop,4_refound_16734,5_refound_20935_stop,6_refound_25011_stop,7_refound_29242,8_refound_33344,9_refound_37507_stop,,,,13_refound_54273_stop,14_refound_58388_stop,15_refound_62583,
group_6238,,restriction endonuclease,0_refound_1298_stop,1_refound_5438_stop,2_refound_9589_stop,3_refound_13658_stop,4_refound_17880_stop,5_refound_21939_stop,6_refound_26033_stop,CJMOAC_12280,,,KAGCPN_26065,NDMAAC_26070,CELEIN_03915,,14_refound_59615_stop,,
group_6193,,Regulatory protein LysR:LysR substrate-binding,0_refound_2680_stop,,2_refound_11072,3_refound_15149_stop,4_refound_19130_stop,5_refound_23423_stop,,,8_refound_35675,,10_refound_43990,11_refound_48228,12_refound_52554_stop,13_refound_56638_stop,OFJEOJ_23335,15_refound_65027_stop,
group_6186,,AraC family transcriptional regulator,0_refound_1663_stop,1_refound_5813_stop,2_refound_9978_stop,3_refound_14049_stop,4_refound_18200_stop,5_refound_22332_stop,6_refound_26419,,GGGPIC_11455,KLDNLM_15360,KAGCPN_15040,NDMAAC_15035,12_refound_51547,,,,
group_6119,,Lipase LipC,0_refound_2811,1_refound_6910,2_refound_11204_stop,3_refound_15282_stop,4_refound_19260_stop,5_refound_23555_stop,6_refound_27727,,,9_refound_39963_stop,10_refound_44131_stop,11_refound_48372_stop,12_refound_52697,,,,MOKLEP_03605
group_6097,,LysR family transcriptional regulator,0_refound_113_stop,HMDFDK_04695,2_refound_8854_stop,3_refound_12921_stop,,5_refound_21203_stop,6_refound_25293_stop,,8_refound_33702,,10_refound_41943,11_refound_46172,12_refound_50325_stop,FNPKGJ_21160,,OGPOLJ_21055,
group_6090,,DNA-binding protein,,1_refound_4572,,,,,6_refound_25202_stop,7_refound_29460_stop,8_refound_33607_stop,9_refound_37716_stop,10_refound_41846,11_refound_46075,12_refound_50235_stop,13_refound_54519_stop,14_refound_58600,15_refound_62827_stop,MOKLEP_14075
group_6009,,Catalase-related peroxidase,,1_refound_6640_stop,2_refound_10907,3_refound_14983,,5_refound_23263,,7_refound_31413_stop,,9_refound_39702_stop,10_refound_43858,11_refound_48094,12_refound_52396_stop,13_refound_56488_stop,OFJEOJ_03885,15_refound_64879_stop,
group_6003,,hypothetical protein,0_refound_2140_stop,,2_refound_10481_stop,3_refound_14559_stop,,5_refound_22837_stop,6_refound_26962,7_refound_30980_stop,8_refound_35107,,KAGCPN_13905,NDMAAC_13900,12_refound_52070,13_refound_56258_stop,,15_refound_64576_stop,
group_5971,,LysR family transcriptional regulator,,,2_refound_9979_stop,3_refound_14051_stop,,5_refound_22333_stop,6_refound_26422_stop,,GGGPIC_11575,9_refound_39055_stop,10_refound_43198,11_refound_47430,12_refound_51550,FNPKGJ_11230,14_refound_59971,OGPOLJ_11490,
group_5956,,MliC domain-containing protein,0_refound_4060,1_refound_8341_stop,2_refound_12409_stop,3_refound_16484_stop,4_refound_20684,5_refound_24755_stop,6_refound_28938_stop,CJMOAC_25375,,9_refound_41316,,,12_refound_53921,13_refound_58088,,15_refound_66413,
group_5917,,IS3 family transposase,,,,OELDID_25725,,NFOGGK_13265,DILMCD_28850,7_refound_33006_stop,8_refound_37221_stop,9_refound_41302_stop,KAGCPN_16740,NDMAAC_16735,CELEIN_03325,13_refound_58072,14_refound_62213,15_refound_66394_stop,
group_5916,,hypothetical protein,0_refound_4044_stop,1_refound_8325_stop,2_refound_12395,3_refound_16468,4_refound_20665,5_refound_24739,6_refound_28925,CJMOAC_27955,,9_refound_41301_stop,10_refound_45532_stop,11_refound_49773_stop,12_refound_53902_stop,,,,
group_5911,,diaminobutyrate--2-oxoglutarate transaminase,,,2_refound_12391_stop,3_refound_16464_stop,,5_refound_24735_stop,6_refound_28921,7_refound_33003_stop,,9_refound_41296,KAGCPN_13015,NDMAAC_13010,12_refound_53898_stop,FNPKGJ_15120,OFJEOJ_14365,OGPOLJ_16045,
group_5892,,hypothetical protein,,1_refound_8314,,,4_refound_20650_stop,,6_refound_28913_stop,7_refound_32990,GGGPIC_20840,9_refound_41285,KAGCPN_18355,NDMAAC_18350,12_refound_53889,13_refound_58063_stop,OFJEOJ_26440,15_refound_66385_stop,
group_5872,,hypothetical protein,AEKEPN_29840,HMDFDK_16970,2_refound_12370,3_refound_16443,NDFCFG_21365,5_refound_24714,,7_refound_32984,8_refound_37196,,,,12_refound_53880,13_refound_58053,14_refound_62191_stop,,16_refound_69426
group_5868,,hypothetical protein;thymidylate kinase,AEKEPN_16085,1_refound_8303_stop,DGIGOC_03890,OELDID_27640,4_refound_20639_stop,NFOGGK_15170,6_refound_28903_stop,7_refound_32982,GGGPIC_14295,9_refound_41273,,,CELEIN_14810,,14_refound_62188,,
group_5852,,Quinone oxidoreductase 1,,,DGIGOC_02770,OELDID_00090,,NFOGGK_16290,6_refound_25557,7_refound_29782_stop,,9_refound_38041_stop,KAGCPN_15070,NDMAAC_15065,12_refound_50576_stop,13_refound_54848_stop,14_refound_58909_stop,15_refound_63155_stop,
group_5835,,Putative 2-ketoarginine decarboxylase AruI,AEKEPN_04835,HMDFDK_08665,2_refound_12357_stop,3_refound_16430_stop,4_refound_20627_stop,5_refound_24701_stop,6_refound_28892_stop,CJMOAC_06780,,,10_refound_45494_stop,11_refound_49734_stop,12_refound_53868_stop,,14_refound_62178_stop,,
group_5833,,DUF3300 domain-containing protein,AEKEPN_18195,HMDFDK_26130,2_refound_12356_stop,3_refound_16429_stop,NDFCFG_10095,5_refound_24700_stop,6_refound_28891_stop,,,9_refound_41261_stop,10_refound_45493_stop,11_refound_49733_stop,12_refound_53867_stop,,OFJEOJ_16505,,
group_5808,,hypothetical protein;IS1182 family transposase,,,2_refound_12346_stop,3_refound_16419_stop,,5_refound_24690_stop,DILMCD_18260,7_refound_32961_stop,8_refound_37173_stop,KLDNLM_10325,10_refound_45484,11_refound_49724,,FNPKGJ_21340,14_refound_62173_stop,15_refound_66358_stop,
group_5767,,hypothetical protein,0_refound_3996,1_refound_8268_stop,,,,,6_refound_28871,CJMOAC_00665,8_refound_37151,9_refound_41240,10_refound_45467,11_refound_49707,CELEIN_16670,13_refound_58016,14_refound_62152,15_refound_66338,
group_5761,,EugR;sigma-54-dependent Fis family transcriptional regulator,0_refound_3993_stop,HMDFDK_05025,,,4_refound_20603_stop,,6_refound_28869_stop,7_refound_32942_stop,,KLDNLM_16775,KAGCPN_14290,NDMAAC_14285,12_refound_53845_stop,FNPKGJ_15555,14_refound_62150_stop,OGPOLJ_16480,
group_5723,,Transmembrane sensor/regulator PpyR;transmembrane sensor/regulator PpyR,AEKEPN_14425,1_refound_8250,,,NDFCFG_12930,5_refound_24666_stop,DILMCD_16000;DILMCD_16005,CJMOAC_25935,,9_refound_41224_stop,10_refound_45451,11_refound_49691,CELEIN_17080,,14_refound_62135,,16_refound_69384_stop
group_5720,,Response regulatory domain-containing protein,0_refound_3981,1_refound_8248_stop,DGIGOC_08280,OELDID_23250,,NFOGGK_10795,DILMCD_27585,7_refound_32925,8_refound_37133,,,,CELEIN_09960,13_refound_58000,14_refound_62134,15_refound_66321,
group_5717,,transcriptional regulator,0_refound_3979,1_refound_8246_stop,,,,,DILMCD_20830,7_refound_32924_stop,8_refound_37131_stop,KLDNLM_19870,10_refound_45449,11_refound_49689,CELEIN_12065,13_refound_57999_stop,OFJEOJ_11520,15_refound_66320_stop,
group_5706,,DUF3079 domain-containing protein,0_refound_3975,1_refound_8241,2_refound_12318,3_refound_16391_stop,,5_refound_24661_stop,6_refound_28859_stop,CJMOAC_14355,8_refound_37127_stop,KLDNLM_17565,KAGCPN_14345,NDMAAC_14340,12_refound_53836_stop,,,,
group_5703,,hypothetical protein;Putative lipoprotein,0_refound_3972,1_refound_8238_stop,,,4_refound_20583_stop,,,CJMOAC_14325,GGGPIC_22155,KLDNLM_18955,10_refound_45440_stop,11_refound_49680_stop,12_refound_53834,FNPKGJ_00860,14_refound_62126,OGPOLJ_00820,
group_5699,,AP endonuclease,0_refound_3969,HMDFDK_26710,2_refound_12315,3_refound_16388,4_refound_20581_stop,5_refound_24658,6_refound_28856_stop,CJMOAC_24895,,,KAGCPN_18370,NDMAAC_18365,12_refound_53832_stop,,14_refound_62124,,
group_5667,,sugar ABC transporter substrate-binding protein;Iron dicitrate transport regulator FecR,,1_refound_8225,,,4_refound_20573_stop,,DILMCD_18325,CJMOAC_12750,8_refound_37118_stop,KLDNLM_12670,KAGCPN_15460,NDMAAC_15455,CELEIN_14505,FNPKGJ_13505,OFJEOJ_14355,OGPOLJ_13925,
group_5630,,HIT domain-containing protein,0_refound_3948_stop,HMDFDK_03410,,,4_refound_20558,,6_refound_28837_stop,CJMOAC_14895,8_refound_37097_stop,9_refound_41204_stop,10_refound_45415,11_refound_49655,12_refound_53813,FNPKGJ_16035,14_refound_62101,,
group_5612,,hypothetical protein,0_refound_3943_stop,1_refound_8208,,OELDID_24540,4_refound_20553,,DILMCD_15180,CJMOAC_15785,8_refound_37088,9_refound_41201_stop,,,CELEIN_17890,13_refound_57965,OFJEOJ_17470,15_refound_66288,
group_5574,,RNA-splicing ligase RtcB,0_refound_3929_stop,,2_refound_12280_stop,3_refound_16353_stop,4_refound_20539_stop,5_refound_24624_stop,DILMCD_28085,CJMOAC_30905,,KLDNLM_18720,10_refound_45399_stop,11_refound_49639_stop,CELEIN_10570,,OFJEOJ_19080,,
group_5524,,Tyrosyl-trna synthetase;tyrosyl-trna synthetase,AEKEPN_21735,1_refound_8178_stop,DGIGOC_07975,OELDID_23555,NDFCFG_20275,NFOGGK_11100,DILMCD_14220,7_refound_32868,GGGPIC_10280,9_refound_41169_stop,,,CELEIN_18875,,14_refound_62072,,
group_5441,,MFS transporter,0_refound_3896,HMDFDK_10885,2_refound_12250,3_refound_16322,4_refound_20497,5_refound_24593,6_refound_28789_stop,,GGGPIC_05790,9_refound_41141_stop,,,12_refound_53764_stop,13_refound_57914,,15_refound_66238,
group_5436,,3-hydroxyacyl-CoA dehydrogenase;3-hydroxybutyryl-CoA dehydrogenase,AEKEPN_11990,,2_refound_12246,3_refound_16318,NDFCFG_19160,5_refound_24589,6_refound_28786_stop,CJMOAC_27915,8_refound_37036_stop,9_refound_41140_stop,,,12_refound_53761_stop,,OFJEOJ_19490,,16_refound_69312_stop
deoR,deoR,DNA-binding protein,,1_refound_5872,2_refound_10046_stop,3_refound_14118_stop,,5_refound_22400_stop,6_refound_26493,7_refound_30537,GGGPIC_15885,,,,12_refound_51618_stop,13_refound_55907_stop,14_refound_60032_stop,15_refound_64223_stop,16_refound_67792_stop
group_5396,,TauD domain-containing protein,0_refound_1163,,2_refound_9447,3_refound_13516,4_refound_17746,5_refound_21796,,7_refound_30346,,9_refound_38598,KAGCPN_13005,NDMAAC_13000,,FNPKGJ_15130,14_refound_59491,OGPOLJ_16055,
group_5394,,DUF4822 domain-containing protein,AEKEPN_21450,1_refound_8145,DGIGOC_01340,OELDID_01520,,NFOGGK_17725,DILMCD_21500,,GGGPIC_12880,,10_refound_45344,11_refound_49584,CELEIN_11440,13_refound_57897_stop,,15_refound_66221_stop,
group_5377,,effector protein,,1_refound_8141_stop,,,4_refound_20480_stop,,DILMCD_17860,7_refound_32838,GGGPIC_11740,9_refound_41117_stop,10_refound_45337,11_refound_49577,CELEIN_15110,FNPKGJ_11560,14_refound_62036_stop,OGPOLJ_11830,
group_5348,,ornithine cyclodeaminase,0_refound_2504_stop,1_refound_6613_stop,2_refound_10879_stop,3_refound_14955_stop,4_refound_18969_stop,5_refound_23235_stop,6_refound_27404_stop,,8_refound_35510_stop,9_refound_39672,,,12_refound_52365_stop,FNPKGJ_28530,,OGPOLJ_28290,
group_5347,lysR,LysR family transcriptional regulator,0_refound_2478,1_refound_6584_stop,2_refound_10843_stop,3_refound_14919_stop,4_refound_18945_stop,5_refound_23199_stop,6_refound_27367,7_refound_31346,,,,,12_refound_52333_stop,FNPKGJ_21485,14_refound_60744_stop,OGPOLJ_21365,
group_5312,,hypothetical protein,0_refound_3872_stop,1_refound_8126,2_refound_12223,,,,,CJMOAC_03415,8_refound_37003_stop,KLDNLM_27460,KAGCPN_27265,NDMAAC_27265,12_refound_53742,13_refound_57879_stop,14_refound_62020,15_refound_66206_stop,
group_5310,,cupin domain-containing protein,,1_refound_8127_stop,2_refound_12224,3_refound_16296,NDFCFG_11350,5_refound_24566,6_refound_28763,7_refound_32823,,9_refound_41103_stop,10_refound_45326,11_refound_49566,12_refound_53743,,14_refound_62021,,
group_5218,,Toxin-antitoxin system HicB family antitoxin;toxin-antitoxin system HicB family antitoxin,0_refound_3851,1_refound_8100_stop,2_refound_12209_stop,3_refound_16282,4_refound_20444_stop,5_refound_24552,6_refound_28750,CJMOAC_30750,8_refound_36980_stop,,,,12_refound_53730,FNPKGJ_12275,,OGPOLJ_12700,
group_5180,,TetR family transcriptional regulator;TetR/AcrR family transcriptional regulator,0_refound_3839,HMDFDK_03640,DGIGOC_02385,OELDID_00475,,NFOGGK_16675,DILMCD_19685,7_refound_32798_stop,8_refound_36971_stop,,10_refound_45289_stop,11_refound_49529_stop,12_refound_53718,,14_refound_61992,,
group_5176,,hypothetical protein,0_refound_2100_stop,1_refound_6224_stop,2_refound_10454_stop,3_refound_14531_stop,4_refound_18600_stop,5_refound_22812_stop,6_refound_26935_stop,,,9_refound_39280,KAGCPN_11455,NDMAAC_11450,12_refound_52039_stop,,14_refound_60396,,
group_5136,,Adenylate cyclase;CadC-family transcriptional regulator,AEKEPN_20425,1_refound_8080_stop,2_refound_12197,3_refound_16270,4_refound_20422,5_refound_24540,6_refound_28734,,8_refound_36966_stop,KLDNLM_12085,,,12_refound_53712_stop,13_refound_57852_stop,,15_refound_66180_stop,
group_5126,,TolC family protein;Cobalt-zinc-cadmium resistance protein CzcC;type I secretion protein TolC,,HMDFDK_03085,DGIGOC_07345,OELDID_24185,,NFOGGK_11730,DILMCD_14810,CJMOAC_05835,GGGPIC_04375,KLDNLM_19685,,,CELEIN_18285,FNPKGJ_03790,OFJEOJ_05195,OGPOLJ_03560,
group_5081,,Putative lumazine-binding;Putative lumazine-binding protein,AEKEPN_10840,,2_refound_12185,3_refound_16258_stop,,5_refound_24528_stop,6_refound_28722_stop,,GGGPIC_14625,9_refound_41052_stop,10_refound_45257_stop,11_refound_49497_stop,12_refound_53703,FNPKGJ_14960,,OGPOLJ_15870,
group_5047,mexE,efflux transporter periplasmic adaptor subunit,AEKEPN_12765,1_refound_8050_stop,2_refound_12178_stop,3_refound_16251_stop,,5_refound_24521_stop,,7_refound_32772_stop,8_refound_36942_stop,9_refound_41042,10_refound_45248_stop,11_refound_49488_stop,,,14_refound_61958_stop,,MOKLEP_02030
group_5034,,Rhodanese domain-containing protein;hypothetical protein,AEKEPN_05485,1_refound_8046_stop,DGIGOC_24045,OELDID_07485,NDFCFG_24685,NFOGGK_23685,6_refound_28715_stop,,8_refound_36939,9_refound_41038,KAGCPN_23485,NDMAAC_23485,12_refound_53696,,,,
group_4964,,Ammonia monooxygenase,0_refound_387,1_refound_4592,DGIGOC_00530,OELDID_02330,4_refound_17263,NFOGGK_18535,DILMCD_15780,,,9_refound_38003,10_refound_42122_stop,11_refound_46351_stop,CELEIN_17255,,14_refound_58869,,
group_4955,,iron dicitrate transport regulator FecR,AEKEPN_05335,HMDFDK_10585,DGIGOC_12745,OELDID_18785,,NFOGGK_06330,DILMCD_23615,CJMOAC_19245,GGGPIC_22810,,,,CELEIN_05330,FNPKGJ_25370,OFJEOJ_25005,OGPOLJ_25115,
catA,catA,catechol 12-dioxygenase,AEKEPN_12310,HMDFDK_01505,,,NDFCFG_18885,,DILMCD_20060,CJMOAC_12220,GGGPIC_23465,KLDNLM_18775,,,12_refound_53673_stop,FNPKGJ_26240,OFJEOJ_10840,OGPOLJ_25945,MOKLEP_16840
group_4905,,Transcriptional regulator;type II toxin-antitoxin system MqsA family antitoxin,0_refound_3781,,2_refound_12151,3_refound_16224_stop,4_refound_20365_stop,5_refound_24494_stop,DILMCD_23455,CJMOAC_19385,,,,,CELEIN_05150,FNPKGJ_05425,OFJEOJ_25150,OGPOLJ_05095,16_refound_69156
group_4869,,Ornithine utilization regulator,0_refound_1353_stop,1_refound_5493_stop,,3_refound_13716_stop,,5_refound_21997_stop,6_refound_26092,CJMOAC_14245,8_refound_34651,,,,12_refound_51223_stop,13_refound_55586,14_refound_59669,15_refound_63898,16_refound_67629_stop
group_4835,,Haem degrading protein HbpS-like;heme-binding protein;Heme-binding protein,0_refound_3766_stop,1_refound_7986_stop,,,NDFCFG_23610,,DILMCD_02635,CJMOAC_21335,GGGPIC_01965,9_refound_40994,,,CELEIN_00925,FNPKGJ_01020,14_refound_61915,OGPOLJ_01010,MOKLEP_06215
group_4833,,alcohol dehydrogenase,AEKEPN_13710,1_refound_4269_stop,2_refound_8513_stop,3_refound_12582_stop,,5_refound_20860_stop,6_refound_24939_stop,7_refound_29159_stop,,9_refound_37430,10_refound_41542,11_refound_45770,12_refound_49963,,,,16_refound_66690_stop
group_4814,,SGNH/GDSL hydrolase family protein;lipase,AEKEPN_20515,HMDFDK_26380,2_refound_12137_stop,3_refound_16210_stop,NDFCFG_10885,5_refound_24480_stop,6_refound_28672_stop,7_refound_32718_stop,,,,,12_refound_53653_stop,13_refound_57792_stop,14_refound_61911,15_refound_66112_stop,
group_4808,,RES family NAD+ phosphorylase,0_refound_2013_stop,1_refound_6152_stop,2_refound_10368_stop,3_refound_14446_stop,4_refound_18517_stop,5_refound_22727_stop,6_refound_26840_stop,,8_refound_35006_stop,KLDNLM_22750,10_refound_43523_stop,11_refound_47754_stop,,,,15_refound_64471_stop,
group_4777,,carbonic anhydrase,AEKEPN_13910,1_refound_7970,DGIGOC_00700,OELDID_02160,NDFCFG_17235,NFOGGK_18365,DILMCD_21425,CJMOAC_17065,GGGPIC_08390,KLDNLM_13620,,,CELEIN_11515,,OFJEOJ_10700,,
group_4775,,AraC family transcriptional regulator,AEKEPN_19905,HMDFDK_25605,DGIGOC_00010,OELDID_02850,NDFCFG_18655,NFOGGK_19055,6_refound_25086,7_refound_29326_stop,,9_refound_37585_stop,10_refound_41709,11_refound_45938,12_refound_50120_stop,,,,
group_4764,,AraC family transcriptional regulator,0_refound_2194,1_refound_6302_stop,,,4_refound_18676_stop,,6_refound_27008,7_refound_31029,,9_refound_39359_stop,KAGCPN_18765,NDMAAC_18760,12_refound_52119,13_refound_56308,14_refound_60458_stop,15_refound_64625,
group_4750,ssuD,LLM class flavin-dependent oxidoreductase,AEKEPN_12410,,DGIGOC_06260,OELDID_25270,NDFCFG_18800,NFOGGK_12815,DILMCD_20795,7_refound_29124,,,KAGCPN_14670,NDMAAC_14665,CELEIN_12170,FNPKGJ_11330,,OGPOLJ_11590,
group_4745,,hypothetical protein,,1_refound_7966,DGIGOC_25325,OELDID_06205,4_refound_20330,NFOGGK_22400,DILMCD_10850,7_refound_32703,8_refound_36868_stop,,,,CELEIN_22265,13_refound_57781_stop,OFJEOJ_08010,15_refound_66102,
group_4730,,Putative fimbrial chaperone EcpB;Pilus assembly protein,AEKEPN_05495,HMDFDK_20925,DGIGOC_24050,OELDID_07480,NDFCFG_24680,NFOGGK_23680,DILMCD_09640,,GGGPIC_06345,KLDNLM_24095,KAGCPN_23475,NDMAAC_23480,CELEIN_23680,,,,
group_4617,,hybrid sensor histidine kinase/response regulator,,,DGIGOC_06205,OELDID_25325,,NFOGGK_12865,DILMCD_20750,CJMOAC_07235,GGGPIC_16070,9_refound_40962_stop,10_refound_45150_stop,11_refound_49390_stop,CELEIN_12290,,OFJEOJ_10730,OGPOLJ_11290,
group_4577,,aldo/keto reductase,AEKEPN_13310,,DGIGOC_00395,OELDID_02465,NDFCFG_17650,NFOGGK_18670,DILMCD_15635,7_refound_32679_stop,,KLDNLM_11910,10_refound_45140,11_refound_49380,CELEIN_17415,,14_refound_61871,,
group_4524,,hypothetical protein,,HMDFDK_03695,,,4_refound_20291_stop,,DILMCD_18100,7_refound_32669_stop,GGGPIC_13575,9_refound_40945_stop,10_refound_45127_stop,11_refound_49367_stop,CELEIN_14835,FNPKGJ_15585,14_refound_61860,OGPOLJ_16510,
group_4496,,Hcp family type VI secretion system effector;Major exported protein,AEKEPN_08490,1_refound_7921_stop,,,NDFCFG_21025,,,7_refound_32663_stop,,9_refound_40940_stop,10_refound_45122,11_refound_49362,12_refound_53612_stop,13_refound_57733,14_refound_61854_stop,15_refound_66059,16_refound_69048_stop
group_4453,,DUF1016 domain-containing protein,0_refound_1811_stop,,2_refound_10149,3_refound_14223,4_refound_18340_stop,5_refound_22504,6_refound_26604_stop,,GGGPIC_24805,9_refound_39196_stop,,,12_refound_51721_stop,FNPKGJ_27590,14_refound_60127_stop,OGPOLJ_27350,
group_4406,,Methionine-rich peptide X;hypothetical protein,AEKEPN_20280,HMDFDK_25990,2_refound_12084_stop,3_refound_16159_stop,NDFCFG_11020,5_refound_24429_stop,,7_refound_32649,,9_refound_40928,10_refound_45110,11_refound_49350,12_refound_53603_stop,,14_refound_61843_stop,,
nirK,nirK,copper-containing nitrite reductase,0_refound_1222_stop,,2_refound_9508_stop,3_refound_13576_stop,4_refound_17800_stop,5_refound_21857_stop,6_refound_25953_stop,CJMOAC_04495,,9_refound_38653_stop,10_refound_42796,11_refound_47025,12_refound_51091_stop,,OFJEOJ_03760,,
group_4325,,TetR family transcriptional regulator,AEKEPN_11985,HMDFDK_00080,2_refound_12073_stop,3_refound_16148_stop,NDFCFG_19165,5_refound_24418_stop,,CJMOAC_27920,8_refound_36783,9_refound_40913_stop,10_refound_45094_stop,11_refound_49334_stop,,,,,16_refound_69005
group_4307,,DUF4865 domain-containing protein,0_refound_3693,1_refound_7885_stop,,,,,6_refound_28617_stop,7_refound_32634_stop,8_refound_36781,9_refound_40908_stop,10_refound_45092_stop,11_refound_49332_stop,12_refound_53593_stop,FNPKGJ_11960,OFJEOJ_19325,OGPOLJ_12235,
group_4292,,chemotaxis protein,,1_refound_7136_stop,2_refound_11436_stop,3_refound_15511_stop,,5_refound_23784_stop,6_refound_27954,7_refound_31951_stop,,9_refound_40202,,,12_refound_52932_stop,13_refound_57029_stop,14_refound_61134,15_refound_65349_stop,MOKLEP_14355
group_4230,,Pyrroline-5-carboxylate reductase;NADP oxidoreductase,,,DGIGOC_04235,OELDID_27295,4_refound_20245,NFOGGK_14825,6_refound_28609,7_refound_32627,GGGPIC_08780,9_refound_40898_stop,,,CELEIN_15285,FNPKGJ_08760,OFJEOJ_23370,OGPOLJ_08090,
group_4216,,glutamine synthetase,AEKEPN_15215,HMDFDK_01925,DGIGOC_03815,OELDID_27715,NDFCFG_13590,NFOGGK_15245,DILMCD_18340,CJMOAC_15690,GGGPIC_16145,KLDNLM_15875,,,CELEIN_14490,,OFJEOJ_14330,,
group_4208,,HTH-type transcriptional regulator DmlR;DNA-binding transcriptional LysR family regulator,AEKEPN_15730,1_refound_7865,DGIGOC_06415,OELDID_25115,,NFOGGK_12660,,7_refound_32623_stop,,9_refound_40895,KAGCPN_14400,NDMAAC_14395,,13_refound_57683,14_refound_61819,15_refound_66008,
peaD,peaD,quinohemoprotein amine dehydrogenase subunit beta,AEKEPN_22395,HMDFDK_23780,2_refound_8705,3_refound_12772,NDFCFG_08290,5_refound_21052,6_refound_25128_stop,CJMOAC_10910,,9_refound_37639_stop,10_refound_41762,11_refound_45991,,,OFJEOJ_10365,,
group_4167,,Endo/exonuclease/phosphatase domain-containing protein,0_refound_2636,1_refound_6740,2_refound_11017_stop,3_refound_15095_stop,4_refound_19076,5_refound_23371,6_refound_27538_stop,,,9_refound_39784_stop,10_refound_43945_stop,11_refound_48182_stop,12_refound_52498_stop,,OFJEOJ_17220,,
group_4138,,PepSY domain-containing protein,0_refound_673,1_refound_4867_stop,,,4_refound_17510_stop,,6_refound_25718_stop,,8_refound_34118_stop,,10_refound_42356,11_refound_46584,12_refound_50737_stop,13_refound_55020_stop,14_refound_59098,15_refound_63337,MOKLEP_09705
group_4109,,hypothetical protein,0_refound_1446_stop,1_refound_5585_stop,2_refound_9746_stop,3_refound_13815_stop,4_refound_18009,5_refound_22096_stop,6_refound_26195,CJMOAC_21945,8_refound_34729,,,,,13_refound_55673,14_refound_59762_stop,15_refound_63984,
group_4054,,glycosyl hydrolase,,,2_refound_9708_stop,3_refound_13778_stop,4_refound_17976_stop,5_refound_22059_stop,6_refound_26156,CJMOAC_18490,,9_refound_38820_stop,10_refound_42963,11_refound_47194,12_refound_51285_stop,13_refound_55640,14_refound_59728_stop,,
xylH,xylH,sugar ABC transporter permease,,,2_refound_9357,3_refound_13424,,5_refound_21705,DILMCD_18170,,GGGPIC_11610,9_refound_38535,KAGCPN_13865,NDMAAC_13860,CELEIN_14755,FNPKGJ_11270,14_refound_59429_stop,OGPOLJ_11530,
group_4017,,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase;sugar transferase,AEKEPN_19925,,DGIGOC_28660,OELDID_02870,NDFCFG_18675,NFOGGK_19075,DILMCD_28480,CJMOAC_16450,,KLDNLM_19205,KAGCPN_19335,NDMAAC_19345,CELEIN_10955,,14_refound_61775,,
group_4010,,hypothetical protein;TonB-dependent receptor,,1_refound_7816_stop,DGIGOC_16770,OELDID_14760,NDFCFG_11495,NFOGGK_02305,DILMCD_02385;DILMCD_02390,CJMOAC_21635,GGGPIC_18395,,,,CELEIN_01180,FNPKGJ_19410,OFJEOJ_28885,OGPOLJ_20370,
